pc1,pc2,clase
7.068203,-0.567231,obj04
6.948892,-0.550954,obj04
6.936097,-0.596985,obj04
6.915769,-0.554896,obj04
6.870965,-0.851206,obj04
7.013422,-0.51833,obj04
6.672143,-0.870962,obj04
6.868902,-0.516088,obj04
7.105969,-0.801216,obj04
6.785075,-0.054708,obj04
6.851825,-0.553374,obj04
7.162972,-0.709955,obj04
6.719313,-0.366758,obj04
6.633325,-0.40587,obj04
7.100578,-0.285914,obj04
6.441444,-0.595973,obj04
6.370237,-0.861465,obj04
6.229199,-0.656498,obj04
6.119447,-0.815587,obj04
5.995071,-1.19986,obj04
5.942133,-1.253104,obj04
5.97589,-1.033277,obj04
5.976624,-1.446601,obj04
5.991121,-1.399148,obj04
6.119325,-1.398125,obj04
1.620595,-3.926966,obj05
1.283105,-4.002846,obj05
0.328378,-4.173766,obj05
0.287232,-4.141211,obj05
0.34821,-4.16385,obj05
0.391315,-4.087744,obj05
0.456075,-4.089277,obj05
0.323389,-4.145798,obj05
0.262066,-4.132668,obj05
0.269806,-4.096122,obj05
0.478445,-4.071157,obj05
0.382581,-4.038294,obj05
1.31038,-4.033923,obj05
0.474412,-3.973553,obj05
0.703654,-3.902312,obj05
0.746053,-3.873829,obj05
0.813987,-3.777662,obj05
0.723449,-3.823891,obj05
0.924831,-3.774712,obj05
0.927084,-3.784084,obj05
0.964578,-3.748878,obj05
1.009641,-3.728257,obj05
0.929356,-3.738807,obj05
1.184975,-3.996087,obj05
1.070378,-3.690829,obj05
1.075356,-3.663355,obj05
0.993264,-3.704725,obj05
0.953354,-3.742084,obj05
1.04148,-3.738803,obj05
0.96255,-3.802457,obj05
0.942075,-3.864292,obj05
0.794192,-3.965649,obj05
0.864991,-3.995268,obj05
0.940608,-4.040677,obj05
1.140659,-4.077787,obj05
1.017716,-4.069291,obj05
1.176933,-4.079753,obj05
1.004159,-4.192312,obj05
0.991101,-4.179293,obj05
1.057752,-4.19969,obj05
1.108299,-4.236727,obj05
1.22747,-4.198741,obj05
1.170923,-4.264785,obj05
1.29294,-4.221888,obj05
1.277543,-4.289263,obj05
1.004407,-4.04081,obj05
1.347248,-4.242578,obj05
1.390575,-4.190715,obj05
1.538179,-4.137928,obj05
1.541413,-4.132715,obj05
1.661356,-4.077783,obj05
1.768982,-3.979987,obj05
1.846236,-3.889563,obj05
1.732343,-3.920196,obj05
1.647873,-3.986758,obj05
1.606458,-3.945038,obj05
0.859718,-4.116259,obj05
1.651947,-3.924874,obj05
1.638694,-3.921595,obj05
0.867503,-4.077183,obj05
0.838061,-4.102864,obj05
1.586802,-3.935022,obj05
0.790891,-4.077888,obj05
0.694494,-4.105019,obj05
0.525215,-4.165863,obj05
0.600422,-4.119875,obj05
0.485674,-4.145076,obj05
0.296249,-4.184824,obj05
0.282271,-4.2134,obj05
0.350833,-4.220979,obj05
0.247276,-4.117343,obj05
0.261629,-4.189314,obj05
-0.708119,-1.542545,obj06
-0.625077,-1.327762,obj06
-0.37608,-0.918541,obj06
-0.443364,-1.111695,obj06
-0.440797,-1.323174,obj06
-0.43155,-1.280884,obj06
-0.489916,-1.254983,obj06
-0.436063,-1.242838,obj06
-0.947684,-1.78275,obj06
-0.930179,-1.785248,obj06
-0.977527,-1.818541,obj06
-0.896108,-1.736416,obj06
-0.58979,-1.244351,obj06
-0.887357,-1.737503,obj06
-0.882907,-1.740993,obj06
-0.807698,-1.687612,obj06
-0.740759,-1.634898,obj06
-0.627166,-1.525176,obj06
-0.552508,-1.489284,obj06
-0.531621,-1.468484,obj06
-0.436162,-1.34207,obj06
-0.42583,-1.27216,obj06
-0.377232,-1.187684,obj06
-0.550398,-1.173502,obj06
-0.354004,-1.094236,obj06
-0.36267,-1.024812,obj06
-0.333805,-0.96458,obj06
-0.309839,-0.885899,obj06
-0.313449,-0.866553,obj06
0.436625,-0.13824,obj06
-0.404678,-0.885626,obj06
0.541816,-0.051316,obj06
-0.581422,-1.039502,obj06
0.733571,-0.286695,obj06
-0.487602,-1.072021,obj06
0.850567,-0.649352,obj06
0.985312,-1.026371,obj06
1.114243,-1.533534,obj06
1.40762,-2.472614,obj06
1.584342,-3.884573,obj06
1.589622,-2.645168,obj06
1.20787,-2.250538,obj06
1.146288,-1.698868,obj06
1.023681,-1.4332,obj06
0.803957,-0.91397,obj06
-0.43961,-0.994501,obj06
-0.902939,-1.898699,obj06
-0.822237,-1.821519,obj06
0.365562,-0.743285,obj06
0.273378,-0.794494,obj06
0.127577,-0.872755,obj06
-0.853153,-1.804035,obj06
-0.800752,-1.77672,obj06
-0.904674,-1.822428,obj06
-0.81631,-1.72878,obj06
-0.870541,-1.753459,obj06
-0.395342,-0.901199,obj06
-0.78535,-1.66485,obj06
-0.789422,-1.603862,obj06
-0.436814,-0.871126,obj06
-0.471878,-0.791247,obj06
-0.689296,-1.457482,obj06
-0.49054,-0.817246,obj06
-0.561554,-0.864172,obj06
-0.088038,-0.410574,obj06
-0.061389,-0.411723,obj06
-0.169503,-0.595658,obj06
-0.164108,-0.700436,obj06
-0.214015,-0.671369,obj06
-0.302093,-0.74741,obj06
-0.172194,-0.757502,obj06
-0.053134,-0.841168,obj06
3.786394,-0.821135,obj07
3.795,-0.83191,obj07
3.66571,-0.798439,obj07
3.684249,-0.723923,obj07
3.765761,-0.671647,obj07
3.828462,-0.62855,obj07
3.85227,-0.622186,obj07
3.832528,-0.621695,obj07
3.789638,-0.608699,obj07
3.807113,-0.623419,obj07
3.786718,-0.594483,obj07
3.75987,-0.541872,obj07
3.623306,-0.90468,obj07
3.651984,-0.534389,obj07
3.61773,-0.591463,obj07
3.605448,-0.69603,obj07
3.614868,-0.804726,obj07
3.655891,-0.868516,obj07
3.735151,-0.930933,obj07
3.728866,-0.984592,obj07
3.791974,-1.005874,obj07
3.83201,-0.991257,obj07
3.723151,-0.977436,obj07
3.521644,-0.992788,obj07
3.808941,-1.024763,obj07
3.807701,-1.069213,obj07
3.848554,-1.086402,obj07
3.798959,-1.08884,obj07
3.7992,-1.166358,obj07
3.87173,-1.132944,obj07
3.811642,-1.143971,obj07
3.938428,-1.138975,obj07
3.945265,-1.129514,obj07
3.901055,-1.133484,obj07
3.474545,-1.023345,obj07
3.753975,-1.100935,obj07
3.731101,-1.11499,obj07
3.837701,-1.130644,obj07
3.766409,-1.149608,obj07
3.474752,-1.295368,obj07
3.209599,-1.358375,obj07
3.373542,-1.379806,obj07
3.291912,-1.352943,obj07
3.347905,-1.280547,obj07
3.372423,-1.198177,obj07
3.351923,-1.108026,obj07
3.644187,-1.135719,obj07
3.452563,-1.033664,obj07
3.605791,-0.971542,obj07
3.672758,-0.869712,obj07
3.696513,-0.809777,obj07
3.751289,-0.658324,obj07
3.787178,-0.621491,obj07
3.900494,-0.616285,obj07
3.935416,-0.654735,obj07
3.989726,-0.728809,obj07
3.342732,-1.124736,obj07
3.778827,-0.811162,obj07
3.858938,-0.8451,obj07
3.328852,-1.163106,obj07
3.262298,-1.158063,obj07
3.833357,-0.823409,obj07
3.367031,-1.150024,obj07
3.331722,-1.122033,obj07
3.34929,-1.102341,obj07
3.418504,-1.054339,obj07
3.354316,-1.049399,obj07
3.390978,-1.021392,obj07
3.383078,-1.005483,obj07
3.387343,-0.995207,obj07
3.483811,-0.920536,obj07
3.554775,-0.854886,obj07
0.33249,-0.599315,obj08
0.641211,-0.271522,obj08
1.77485,0.190117,obj08
1.687944,0.005611,obj08
1.201195,-0.190427,obj08
0.820931,-0.353716,obj08
0.523071,-0.540474,obj08
0.231501,-0.809158,obj08
0.228712,-0.757628,obj08
0.193055,-0.713746,obj08
-0.002077,-0.895838,obj08
-0.019824,-0.928691,obj08
0.131351,-0.816418,obj08
-0.116963,-0.984827,obj08
-0.246191,-1.105705,obj08
-0.175465,-1.050415,obj08
-0.134275,-1.067944,obj08
-0.021396,-0.91992,obj08
0.12898,-0.835835,obj08
0.202122,-0.786456,obj08
0.271209,-0.642583,obj08
0.305946,-0.565539,obj08
0.225877,-0.623799,obj08
0.339568,-0.557857,obj08
0.158159,-0.619182,obj08
0.153232,-0.552005,obj08
0.074683,-0.585096,obj08
-0.106326,-0.684628,obj08
-0.072592,-0.581723,obj08
0.028453,-0.479829,obj08
-0.120473,-0.589248,obj08
-0.348852,-0.782849,obj08
-0.693674,-1.125557,obj08
-0.771584,-1.137236,obj08
0.138084,-0.754308,obj08
-0.863767,-1.33341,obj08
-1.010695,-1.617131,obj08
-1.263079,-1.847587,obj08
-1.679874,-2.052201,obj08
-1.683402,-1.928293,obj08
-1.583578,-1.700119,obj08
-0.778315,-1.810551,obj08
-1.167799,-1.800837,obj08
-0.341624,-1.300605,obj08
-0.383918,-1.223114,obj08
0.111448,-0.773318,obj08
-0.295525,-1.112715,obj08
-0.184526,-0.990182,obj08
-0.176098,-0.934299,obj08
-0.197841,-0.953711,obj08
-0.214621,-0.927017,obj08
-0.259468,-0.989503,obj08
-0.236152,-0.986852,obj08
-0.210754,-0.965972,obj08
-0.075684,-0.85639,obj08
0.012311,-0.866803,obj08
0.038255,-0.714616,obj08
0.146618,-0.697246,obj08
0.216436,-0.684814,obj08
-0.00077,-0.749694,obj08
-0.022925,-0.716335,obj08
0.550475,-0.371003,obj08
0.619809,-0.153922,obj08
0.789501,-0.071771,obj08
1.408212,0.219582,obj08
1.606139,0.353512,obj08
1.594721,0.379722,obj08
1.943425,0.501838,obj08
1.220833,0.498351,obj08
1.238206,0.619599,obj08
1.523481,0.667527,obj08
2.284365,0.509395,obj08
-5.723504,3.300459,obj09
-5.021002,3.51171,obj09
-7.844355,0.320114,obj09
-8.004139,0.233575,obj09
-7.542088,0.131158,obj09
-7.192915,0.043141,obj09
-7.079022,-0.062688,obj09
-7.612998,-0.180478,obj09
-7.151309,-0.33151,obj09
-7.189257,-0.432815,obj09
-6.398757,-0.531331,obj09
-6.567804,-0.631793,obj09
-4.6308,3.495188,obj09
-6.234621,-0.702945,obj09
-6.125751,-0.741448,obj09
-6.103656,-0.781438,obj09
-6.588464,-0.753813,obj09
-6.38755,-0.710715,obj09
-6.755337,-0.607326,obj09
-6.892806,-0.637011,obj09
-7.179164,-0.722052,obj09
-7.423872,-0.831114,obj09
-7.456817,-0.874157,obj09
-4.691125,3.461068,obj09
-6.644534,-0.899726,obj09
-6.197374,-0.917648,obj09
-7.083594,-0.91618,obj09
-7.031457,-0.782362,obj09
-6.89529,-0.622416,obj09
-6.924902,-0.411458,obj09
-6.35499,-0.156688,obj09
-5.596286,0.179556,obj09
-5.886285,0.475231,obj09
-5.312128,0.812615,obj09
-4.574326,3.336612,obj09
-5.05216,1.13142,obj09
-5.270875,1.485682,obj09
-4.547465,1.696275,obj09
-4.310939,1.936489,obj09
-4.581428,2.155046,obj09
-4.398868,2.275922,obj09
-5.232307,2.497916,obj09
-5.42393,2.552917,obj09
-5.510128,2.652045,obj09
-5.734679,2.69485,obj09
-4.50515,3.241125,obj09
-6.283872,2.815209,obj09
-5.941626,2.691785,obj09
-7.06975,2.936308,obj09
-7.229922,2.911335,obj09
-7.443742,3.025167,obj09
-7.245173,3.163711,obj09
-6.838409,3.125269,obj09
-6.78704,3.274157,obj09
-6.855115,3.268261,obj09
-6.618353,3.293743,obj09
-4.588283,3.035326,obj09
-6.33522,3.429767,obj09
-6.054824,3.316571,obj09
-4.751245,2.739429,obj09
-5.040189,2.594643,obj09
-5.504535,3.543981,obj09
-5.114435,2.247139,obj09
-5.401367,1.850266,obj09
-5.76187,1.571378,obj09
-6.513683,1.309836,obj09
-7.032328,1.164766,obj09
-6.370245,0.772826,obj09
-6.191993,0.56497,obj09
-7.062505,0.531222,obj09
-8.003833,0.563213,obj09
-8.397568,0.473081,obj09
-0.892731,1.283019,obj10
-1.01455,1.20271,obj10
-2.098006,2.776,obj10
-1.906298,2.762281,obj10
-1.841768,2.979195,obj10
-1.84594,3.018001,obj10
-1.691957,3.469673,obj10
-1.591855,3.233062,obj10
-1.339682,3.026403,obj10
-1.506228,2.756299,obj10
-1.006556,2.627321,obj10
-0.405089,2.420306,obj10
-0.674763,1.227813,obj10
-0.46622,2.243221,obj10
-0.163327,2.203837,obj10
0.307194,2.388262,obj10
0.425094,2.483041,obj10
-0.099082,2.326022,obj10
1.127978,2.601098,obj10
0.660786,2.595323,obj10
1.121006,2.708467,obj10
0.533774,2.693798,obj10
0.712299,2.755422,obj10
-0.013397,1.400929,obj10
0.317216,2.952407,obj10
0.367658,3.208442,obj10
0.183644,3.4977,obj10
0.308229,3.710818,obj10
0.425123,4.034528,obj10
0.423177,3.52601,obj10
-0.66132,4.107866,obj10
-0.762453,4.542501,obj10
-0.852924,4.348944,obj10
-0.635945,4.376723,obj10
-0.83907,1.360994,obj10
-0.74259,4.429404,obj10
-0.972631,4.326071,obj10
-1.166364,4.382534,obj10
-0.489828,3.948836,obj10
-0.793345,4.067199,obj10
-1.187407,4.339667,obj10
-1.071246,4.29737,obj10
-1.015733,4.441759,obj10
-0.635426,4.277439,obj10
0.094655,3.96299,obj10
-0.609191,1.424507,obj10
0.198929,3.975721,obj10
-0.263648,3.717144,obj10
-0.377704,3.814485,obj10
-0.62483,3.317145,obj10
-0.58226,2.777428,obj10
-0.307973,2.368723,obj10
-0.678116,2.176947,obj10
-0.389979,1.890478,obj10
-0.616724,1.680197,obj10
-0.534341,1.489161,obj10
-0.925665,1.484603,obj10
-0.419635,1.356375,obj10
-0.689041,1.384808,obj10
-1.009355,1.703261,obj10
-0.480242,1.725321,obj10
-1.046066,1.239794,obj10
-0.874952,1.878845,obj10
-1.030477,2.414568,obj10
-1.29121,2.687233,obj10
-1.121232,2.594036,obj10
-0.732172,2.23309,obj10
-1.375088,2.304226,obj10
-1.792472,2.311308,obj10
-1.643404,2.508189,obj10
-2.276259,1.97114,obj10
-1.960259,2.612896,obj10
3.01817,0.533823,obj11
2.630903,0.233324,obj11
1.343332,-1.497938,obj11
4.644872,0.019023,obj11
1.870258,-1.196539,obj11
4.909728,0.295533,obj11
4.998194,0.389139,obj11
4.944585,0.515911,obj11
4.495272,0.674719,obj11
4.279345,0.908309,obj11
3.134738,0.372418,obj11
2.809127,0.416971,obj11
2.846503,0.437677,obj11
2.407577,0.182353,obj11
3.623184,1.291228,obj11
3.564115,1.316332,obj11
2.949686,0.777734,obj11
3.632634,1.376735,obj11
3.78116,1.367705,obj11
3.931718,1.438152,obj11
3.991688,1.456393,obj11
4.196354,1.489119,obj11
2.497968,0.371671,obj11
2.072184,-0.245155,obj11
4.414138,1.609594,obj11
4.393952,1.472101,obj11
3.454639,0.817781,obj11
5.000757,1.398241,obj11
5.016418,1.09431,obj11
5.451567,0.9406,obj11
5.419016,0.803566,obj11
1.640717,-0.681724,obj11
1.670244,-0.76679,obj11
4.343181,0.173626,obj11
3.237441,0.566077,obj11
0.715718,-1.25225,obj11
4.618884,0.404774,obj11
4.488872,0.267996,obj11
4.316759,-0.044904,obj11
0.24921,-1.696803,obj11
-0.220898,-1.96783,obj11
4.302822,-0.109965,obj11
4.291926,-0.333189,obj11
4.224158,-0.355919,obj11
4.190444,-0.329196,obj11
3.519795,0.622667,obj11
4.238124,-0.433324,obj11
4.208235,-0.547314,obj11
4.392468,-0.626101,obj11
3.946926,-0.593192,obj11
3.994566,-0.188419,obj11
3.417637,-0.193966,obj11
3.695494,0.232091,obj11
1.51643,-0.836959,obj11
2.842179,0.2244,obj11
3.117574,0.510073,obj11
3.854979,0.618497,obj11
1.850351,-0.394073,obj11
2.167687,-0.160837,obj11
4.041863,0.562011,obj11
4.303967,0.454036,obj11
2.438006,0.107715,obj11
3.83648,-0.105828,obj11
0.586767,-1.63986,obj11
4.606566,0.039583,obj11
4.75173,0.169412,obj11
4.686433,-0.083968,obj11
4.590105,0.159831,obj11
3.139461,-0.675479,obj11
4.595707,0.032692,obj11
3.236522,-0.643074,obj11
1.186968,-1.560432,obj11
-0.654428,1.446445,obj12
0.37773,1.60917,obj12
-2.366832,2.528406,obj12
-1.992724,2.470248,obj12
-2.390244,2.562359,obj12
-2.310249,2.481031,obj12
-2.137818,2.426253,obj12
-2.143858,2.294083,obj12
-2.129654,2.131994,obj12
-2.079431,1.989661,obj12
-1.919652,1.847861,obj12
-1.743177,1.754987,obj12
0.993438,1.56284,obj12
-1.77761,1.672826,obj12
-1.378704,1.532485,obj12
-1.038014,1.475439,obj12
-0.836354,1.4966,obj12
-0.486043,1.583129,obj12
-0.226152,1.656384,obj12
0.258617,1.685055,obj12
0.946182,1.794534,obj12
1.566505,1.824126,obj12
2.036323,1.768592,obj12
1.289262,1.620532,obj12
2.282163,1.737291,obj12
2.045934,1.663224,obj12
2.148016,1.484294,obj12
1.785734,1.342,obj12
1.112757,1.166346,obj12
0.90435,0.876057,obj12
0.564999,0.602517,obj12
-0.200753,0.406458,obj12
-0.312473,0.201333,obj12
-0.937796,0.165628,obj12
1.336603,1.662213,obj12
-1.658926,0.320154,obj12
-2.124188,0.520739,obj12
-2.582287,0.726048,obj12
-3.016452,1.093244,obj12
-3.065343,1.415552,obj12
-3.104721,1.624666,obj12
-3.050885,1.758036,obj12
-3.031068,1.79965,obj12
-3.270957,1.892316,obj12
-3.203874,1.810228,obj12
1.295971,1.711627,obj12
-3.201766,1.758758,obj12
-3.225453,1.657998,obj12
-3.440536,1.507956,obj12
-3.347049,1.43335,obj12
-3.523639,1.351573,obj12
-3.551044,1.219779,obj12
-3.312741,1.122218,obj12
-3.151024,1.071218,obj12
-2.502216,1.022406,obj12
-2.092098,1.045523,obj12
1.00797,1.796386,obj12
-1.991986,1.199646,obj12
-1.108911,1.293288,obj12
0.767881,1.76877,obj12
0.205127,1.718525,obj12
0.175723,1.482198,obj12
0.215071,1.4696,obj12
-0.282622,1.464137,obj12
-0.414802,1.382025,obj12
-1.025492,1.523487,obj12
-1.387861,1.57747,obj12
-1.611364,1.703452,obj12
-2.073608,1.957291,obj12
-2.401892,2.247065,obj12
-2.516793,2.391175,obj12
-2.554734,2.471165,obj12
1.276661,2.796444,obj13
1.342582,2.886514,obj13
-3.648217,-0.384571,obj13
-3.681907,-0.402152,obj13
-3.825144,-0.497814,obj13
-3.776982,-0.493661,obj13
-3.817064,-0.547188,obj13
-4.048861,-0.592864,obj13
-4.168439,-0.561461,obj13
-4.661481,-0.577345,obj13
-4.797141,-0.575793,obj13
-4.608915,-0.509991,obj13
1.310954,2.877547,obj13
-4.696209,-0.469427,obj13
-4.727035,-0.45332,obj13
-4.686256,-0.378095,obj13
-4.437421,-0.376905,obj13
-4.505153,-0.293809,obj13
-4.160621,-0.268517,obj13
-4.271046,-0.193338,obj13
-4.061992,-0.124629,obj13
-3.689677,-0.06573,obj13
-3.647262,0.025152,obj13
1.705064,2.814164,obj13
-3.415401,0.028242,obj13
-3.828442,0.008897,obj13
-3.637178,-0.001949,obj13
-3.300797,0.014238,obj13
-3.519701,-0.037524,obj13
-3.368676,-0.104587,obj13
-3.564727,-0.204467,obj13
-3.084838,-0.239842,obj13
-2.958813,-0.264765,obj13
-2.96262,-0.292508,obj13
1.124424,2.69219,obj13
-3.022566,-0.343238,obj13
-3.285196,-0.295225,obj13
-3.248096,-0.282006,obj13
-3.37993,-0.243225,obj13
-3.24096,-0.044804,obj13
-2.944926,0.188683,obj13
-2.695195,0.398657,obj13
-2.197067,0.641692,obj13
-1.453214,0.93776,obj13
-1.271867,1.115123,obj13
0.91619,2.491924,obj13
-0.449331,1.286791,obj13
-0.101735,1.457934,obj13
0.342582,1.60046,obj13
0.803127,1.767762,obj13
